symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
MCX,Bullish,🟡,Short Covering,33.4,88,0.89,0.82,3000.0,3500.0,-175275,123525,-1.75,1.24,-256050,139500,+21.2 Strong Put Writing (ATM zone) | +2.4 Full-chain confirmation (Put-heavy) | +2.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +4.0 ATM±5 zone raw flow: CE -2.56L vs PE +1.40L (institutional tilt Put-heavy)
APLAPOLLO,Bullish,🟢,Strong Bullish (Heavy Call Unwinding),159.7,90,0.57,0.41,2200.0,2300.0,-159250,155050,-1.59,1.55,-135800,264950,+135.7 Strong Put Writing (ATM zone) | +10.6 Full-chain confirmation (Put-heavy) | +6.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +4.0 ATM±5 zone raw flow: CE -1.36L vs PE +2.65L (institutional tilt Put-heavy)
ASTRAL,Bullish,🟡,Short Covering,34.6,89,0.56,0.54,1500.0,1600.0,-67150,-3825,-0.67,-0.04,-124950,7225,"+14.5 Moderate Put Writing (ATM zone) | +1.0 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +14.0 Full-chain Dual Unwinding is Call-heavy (0.67L CE vs 0.04L PE unwound, 17.6x) — bullish | +1.3 ATM±5 zone raw flow: CE -1.25L vs PE +0.07L (institutional tilt Put-heavy)"
POLYCAB,Bullish,🟡,Short Covering,12.3,74,1.07,0.97,9000.0,9000.0,-20250,70125,-0.2,0.7,-33750,66375,+17.3 Moderate Put Writing (ATM zone) | +3.0 Full-chain confirmation (Put-heavy) | +4.0 PCR improving | -8.0 Max Pain below spot | -5.0 Volume favors Calls | +1.0 ATM±5 zone raw flow: CE -0.34L vs PE +0.66L (institutional tilt Put-heavy)
DIXON,Neutral,⚪,Neutral / Mixed Positioning,-0.6,65,0.62,0.64,13500.0,15000.0,-29100,-44200,-0.29,-0.44,-29600,-8550,"+1.6 Call/Put roughly balanced (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.8 Full-chain Dual Unwinding is Put-heavy (0.44L PE vs 0.29L CE unwound, 1.5x) — bearish | +0.2 ATM±5 zone raw flow: CE -0.30L vs PE -0.09L (institutional tilt Put-heavy)"
BAJAJ-AUTO,Bullish,🟢,Long Build-Up,50.0,90,0.94,0.86,11500.0,13000.0,57450,107025,0.57,1.07,-3300,99225,"+40.8 Strong Put Writing (ATM zone) | +3.2 Full-chain confirmation (Put-heavy) | +3.2 PCR improving | -5.0 Volume favors Calls | +6.8 Full-chain Dual Build-Up is Put-heavy (+1.07L PE vs +0.57L CE, 1.9x) | +1.0 ATM±5 zone raw flow: CE -0.03L vs PE +0.99L (institutional tilt Put-heavy)"
MFSL,Bullish Lean,🟩,Bullish Lean (Fresh Put Writing),10.0,75,0.56,0.54,1600.0,1600.0,-9600,17200,-0.1,0.17,400,18000,+4.8 Moderate Put Writing (ATM zone) | +1.2 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.2 ATM±5 zone raw flow: CE +0.00L vs PE +0.18L (institutional tilt Put-heavy)
GRASIM,Bullish,🟢,Bullish OI Bias (Fresh Put Writing),18.5,83,0.55,0.52,3040.0,3300.0,-13000,36750,-0.13,0.37,750,33250,+12.4 Moderate Put Writing (ATM zone) | +1.6 Full-chain confirmation (Put-heavy) | +1.2 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.3 ATM±5 zone raw flow: CE +0.01L vs PE +0.33L (institutional tilt Put-heavy)
BOSCHLTD,Neutral,⚪,Neutral / Mixed Positioning,-4.5,59,0.69,0.73,48000.0,51000.0,8225,2225,0.08,0.02,2075,950,-4.2 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
FORCEMOT,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-7.8,75,0.43,0.46,17000.0,19000.0,4200,-600,0.04,-0.01,3875,-450,-7.8 Moderate Call Writing (ATM zone) | -1.8 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
HDFCAMC,Neutral,⚪,Neutral / Mixed Positioning,2.0,59,0.75,0.76,2600.0,2600.0,12900,4200,0.13,0.04,4200,1800,-0.4 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PAGEIND,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-14.1,80,0.51,0.57,36000.0,40000.0,9120,500,0.09,0.01,4620,960,-11.4 Moderate Call Writing (ATM zone) | -3.3 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PHOENIXLTD,Bullish Lean,🟩,Bullish Lean (Dual Build-Up),11.0,75,1.1,1.05,1900.0,2000.0,21700,36400,0.22,0.36,9100,28700,"+6.8 Moderate Put Writing (ATM zone) | +1.3 Full-chain confirmation (Put-heavy) | +2.0 PCR improving | -5.0 Volume favors Calls | +5.7 Full-chain Dual Build-Up is Put-heavy (+0.36L PE vs +0.22L CE, 1.7x) | +0.2 ATM±5 zone raw flow: CE +0.09L vs PE +0.29L (institutional tilt Put-heavy)"
TORNTPHARM,Bullish Lean,🟩,Bullish Lean (Dual Build-Up),9.7,69,0.68,0.68,4900.0,5000.0,30250,22000,0.3,0.22,17500,28250,"+9.9 Moderate Put Writing (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.5 Full-chain Dual Build-Up is Call-heavy (+0.30L CE vs +0.22L PE, 1.4x) | +0.1 ATM±5 zone raw flow: CE +0.17L vs PE +0.28L (institutional tilt Put-heavy)"
LODHA,Neutral,⚪,Neutral / Mixed Positioning,2.4,65,1.04,1.05,1100.0,1300.0,38125,-5625,0.38,-0.06,21875,23750,+0.3 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
APOLLOHOSP,Neutral,⚪,Neutral / Mixed Positioning,0.3,65,0.85,0.85,8300.0,9300.0,28875,26875,0.29,0.27,23375,23375,-2.8 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
BRITANNIA,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-16.6,84,0.87,0.9,4900.0,5800.0,40875,16875,0.41,0.17,30625,12750,"-7.5 Moderate Call Writing (ATM zone) | -1.0 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.7 Full-chain Dual Build-Up is Call-heavy (+0.41L CE vs +0.17L PE, 2.4x) | -0.2 ATM±5 zone raw flow: CE +0.31L vs PE +0.13L (institutional tilt Call-heavy)"
KEI,Bearish,🔴,Short Build-Up,-34.5,95,1.91,2.04,5400.0,5600.0,39725,24150,0.4,0.24,33775,19600,"-8.6 Moderate Call Writing (ATM zone) | -2.1 Full-chain confirmation (Call-heavy) | -5.2 PCR weakening | -8.0 Max Pain below spot | -5.0 Volume favors Calls | -5.5 Full-chain Dual Build-Up is Call-heavy (+0.40L CE vs +0.24L PE, 1.6x) | -0.1 ATM±5 zone raw flow: CE +0.34L vs PE +0.20L (institutional tilt Call-heavy)"
SIEMENS,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-9.6,75,0.7,0.72,4000.0,4200.0,51975,22400,0.52,0.22,46900,26075,"-1.8 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.3 Full-chain Dual Build-Up is Call-heavy (+0.52L CE vs +0.22L PE, 2.3x) | -0.2 ATM±5 zone raw flow: CE +0.47L vs PE +0.26L (institutional tilt Call-heavy)"
PRESTIGE,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-62.2,95,0.91,1.24,1600.0,1700.0,365400,44550,3.65,0.45,49500,48150,"-6.6 Moderate Call Writing (ATM zone) | -11.4 Full-chain confirmation (Call-heavy) | -13.2 PCR weakening | -8.0 Max Pain below spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+3.65L CE vs +0.45L PE, 8.2x)"
MUTHOOTFIN,Bearish Lean,🟧,Bearish Lean (Put Unwinding),-11.7,75,0.65,0.69,3000.0,3200.0,36575,-98175,0.37,-0.98,57750,-94600,-9.9 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.5 ATM±5 zone raw flow: CE +0.58L vs PE -0.95L (institutional tilt Call-heavy)
PETRONET,Bullish,🟢,Bullish OI Bias (Fresh Put Writing),13.9,83,0.66,0.64,290.0,300.0,146300,197600,1.46,1.98,58900,197600,"+4.7 Moderate Put Writing (ATM zone) | +0.7 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +3.3 Full-chain Dual Build-Up is Put-heavy (+1.98L PE vs +1.46L CE, 1.4x) | +1.4 ATM±5 zone raw flow: CE +0.59L vs PE +1.98L (institutional tilt Put-heavy)"
CAMS,Neutral,⚪,Neutral / Mixed Positioning,0.2,65,0.81,0.82,700.0,800.0,122925,71775,1.23,0.72,61875,112200,"+3.4 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.9 Full-chain Dual Build-Up is Call-heavy (+1.23L CE vs +0.72L PE, 1.7x) | +0.5 ATM±5 zone raw flow: CE +0.62L vs PE +1.12L (institutional tilt Put-heavy)"
CIPLA,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-16.0,83,0.69,0.71,1300.0,1480.0,156400,35275,1.56,0.35,65450,53125,"-0.9 Call/Put roughly balanced (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -16.4 Full-chain Dual Build-Up is Call-heavy (+1.56L CE vs +0.35L PE, 4.4x) | -0.1 ATM±5 zone raw flow: CE +0.65L vs PE +0.53L (institutional tilt Call-heavy)"
KFINTECH,Bearish,🔴,Bearish OI Bias,-16.8,84,0.55,0.56,900.0,1000.0,100620,21850,1.01,0.22,66695,23000,"-1.6 Call/Put roughly balanced (ATM zone) | -0.6 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -16.8 Full-chain Dual Build-Up is Call-heavy (+1.01L CE vs +0.22L PE, 4.6x) | -0.4 ATM±5 zone raw flow: CE +0.67L vs PE +0.23L (institutional tilt Call-heavy)"
